# Fourier-transform spectra: 
# sigma: Conductivity
# eps: Dielectric constant
# 1:Energy[eV] 2:Re(sigma_x)[1/fs*V*Angstrom] 3:Re(sigma_y)[1/fs*V*Angstrom] 4:Re(sigma_z)[1/fs*V*Angstrom] 5:Im(sigma_x)[1/fs*V*Angstrom] 6:Im(sigma_y)[1/fs*V*Angstrom] 7:Im(sigma_z)[1/fs*V*Angstrom] 8:Re(eps_x)[none] 9:Re(eps_y)[none] 10:Re(eps_z)[none] 11:Im(eps_x)[none] 12:Im(eps_y)[none] 13:Im(eps_z)[none]
      0.21000000  0.576685399610501E-008  0.203842903985001E-008  0.188944464194756E-002  0.984994607498763E-008 -0.423700219080810E-008 -0.326381772999931E-002  0.999989442992413E+000  0.100000454114814E+001  0.449810529676378E+001  0.618081773501568E-005  0.218475417785598E-005  0.202507519007200E+001
      0.22000000  0.516943020949447E-008  0.230285876586053E-008  0.147747018448031E-002  0.975742705068643E-008 -0.417812151531353E-008 -0.381501753224832E-002  0.999990017509450E+000  0.100000427449350E+001  0.490301421325993E+001  0.528866759105601E-005  0.235597619625797E-005  0.151154931293225E+001
      0.23000000  0.459978004049949E-008  0.255329440402767E-008  0.108548482541369E-002  0.962253168105847E-008 -0.410008103305285E-008 -0.439587709185496E-002  0.999990583537329E+000  0.100000401227674E+001  0.530173824472379E+001  0.450127455888083E-005  0.249861494266898E-005  0.106223888656973E+001
      0.24000000  0.406106625418079E-008  0.278826616743763E-008  0.715679331419954E-003  0.944927169242145E-008 -0.400485379437665E-008 -0.500353987058876E-002  0.999991138374955E+000  0.100000375579345E+001  0.569237161059057E+001  0.380851007340989E-005  0.261486494466865E-005  0.671171503355338E+000
      0.25000000  0.355592211644137E-008  0.300656192365766E-008  0.369865820147364E-003  0.924188547880460E-008 -0.389452171337364E-008 -0.563499288883160E-002  0.999991679549342E+000  0.100000350622996E+001  0.607317261132346E+001  0.320138943296346E-005  0.270680157122801E-005  0.332989443936168E+000
      0.26000000  0.308643873539608E-008  0.320723373545016E-008  0.494692728507948E-004  0.900476935663024E-008 -0.377124231897612E-008 -0.628711584980469E-002  0.999992204831254E+000  0.100000326465555E+001  0.644257459979418E+001  0.267184086732065E-005  0.277640960993368E-005  0.428241206810890E-001
      0.27000000  0.265416133850411E-008  0.338960010164085E-008 -0.244474571151454E-003  0.874240892572092E-008 -0.363721545329604E-008 -0.695673011163525E-002  0.999992712247282E+000  0.100000303201635E+001  0.679919438773683E+001  0.221253337292153E-005  0.282560190932680E-005 -0.203796257467954E+000
      0.28000000  0.226009426621826E-008  0.355324398446914E-008 -0.511315107534036E-003  0.845931170393477E-008 -0.349465047598564E-008 -0.764064667417759E-002  0.999993200088318E+000  0.100000280913098E+001  0.714183805884134E+001  0.181674844718854E-005  0.285623063947145E-005 -0.411014240211692E+000
      0.29000000  0.190471430977069E-008  0.369800678265751E-008 -0.750776826024403E-003  0.815994214775624E-008 -0.334573451028562E-008 -0.833571238907709E-002  0.999993666914412E+000  0.100000259668790E+001  0.746950420016320E+001  0.147828483661691E-005  0.287009307614602E-005 -0.582692108681048E+000
      0.30000000  0.158799187838386E-008  0.382397847771135E-008 -0.962943714952164E-003  0.784866009607273E-008 -0.319260223376583E-008 -0.903885365745824E-002  0.999994111556095E+000  0.100000239524440E+001  0.778138460234538E+001  0.119138820925994E-005  0.286893335716910E-005 -0.722446886405078E+000
      0.31000000  0.130941935230527E-008  0.393148424335763E-008 -0.114823858176109E-002  0.752966358108323E-008 -0.303730767541449E-008 -0.974711694834556E-002  0.999994533112279E+000  0.100000220522735E+001  0.807686251601699E+001  0.950699656235202E-006  0.285444133086466E-005 -0.833674882713787E+000
      0.32000000  0.106804586492481E-008  0.402106786345061E-008 -0.130739783931330E-002  0.720693684108918E-008 -0.288179843168692E-008 -0.104577055508004E-001  0.999994930944885E+000  0.100000202693535E+001  0.835550858607181E+001  0.751218371143726E-006  0.282824937565055E-005 -0.919568445082555E+000
      0.33000000  0.862517661774361E-009  0.409347235118086E-008 -0.144144237420362E-002  0.688420424737961E-008 -0.272789265852016E-008 -0.111680120618710E-001  0.999995304670416E+000  0.100000186054258E+001  0.861707461680653E+001  0.588274918727850E-006  0.279192788904952E-005 -0.983126993354656E+000
