# Density of States
# Energy[eV]  DOS[1/eV]
#-----------------------
      1.35145823  0.864965869616239E+000
      1.40585760  0.962033789280040E+000
      1.46025698  0.117652285284357E+001
      1.51465635  0.143305148689208E+001
      1.56905573  0.169752461402572E+001
      1.62345510  0.201219725894537E+001
      1.67785448  0.245049064756724E+001
      1.73225386  0.302491348972712E+001
      1.78665323  0.364504040822841E+001
      1.84105261  0.416576237589913E+001
      1.89545198  0.448076644735750E+001
      1.94985136  0.458063927997067E+001
      2.00425073  0.452515161019861E+001
      2.05865011  0.438888341428998E+001
      2.11304948  0.425298812458830E+001
      2.16744886  0.419161649130456E+001
      2.22184823  0.420640829929724E+001
      2.27624761  0.420354376859863E+001
      2.33064698  0.410119558165414E+001
      2.38504636  0.395792578221194E+001
      2.43944573  0.392756647464524E+001
      2.49384511  0.406640198221364E+001
      2.54824448  0.425149300955399E+001
      2.60264386  0.433577944112843E+001
      2.65704323  0.432296076475368E+001
      2.71144261  0.431746301327686E+001
      2.76584198  0.436378298090645E+001
      2.82024136  0.443937151535473E+001
      2.87464073  0.455679736429941E+001
      2.92904011  0.474921614592227E+001
      2.98343948  0.497892629930570E+001
      3.03783886  0.517915259788926E+001
      3.09223823  0.536447005074794E+001
      3.14663761  0.558395499755646E+001
      3.20103698  0.579650626264988E+001
      3.25543636  0.590716010377730E+001
      3.30983574  0.590523999794343E+001
      3.36423511  0.587308814428810E+001
      3.41863449  0.586548032731331E+001
      3.47303386  0.584795868885741E+001
      3.52743324  0.576389431071145E+001
      3.58183261  0.562534761012483E+001
      3.63623199  0.551345503510057E+001
      3.69063136  0.549499893843440E+001
      3.74503074  0.554650010143319E+001
      3.79943011  0.555572085360332E+001
      3.85382949  0.543124768753808E+001
      3.90822886  0.523518757626909E+001
      3.96262824  0.513228251179876E+001
      4.01702761  0.517074367313148E+001
      4.07142699  0.521812195582903E+001
      4.12582636  0.515340248614443E+001
      4.18022574  0.501472177597237E+001
      4.23462511  0.491801295242104E+001
      4.28902449  0.490516804372038E+001
      4.34342386  0.490898214088657E+001
      4.39782324  0.484693262028621E+001
      4.45222261  0.472749160665556E+001
      4.50662199  0.464158196322453E+001
      4.56102136  0.464229492444277E+001
      4.61542074  0.465868802555694E+001
      4.66982011  0.456364031250667E+001
      4.72421949  0.433054336222655E+001
      4.77861887  0.406582443430417E+001
      4.83301824  0.385268062686216E+001
      4.88741762  0.363563307161914E+001
      4.94181699  0.332036392866305E+001
      4.99621637  0.293148200781297E+001
